InterpolacaoLinear,Vazao1_CA_30d,Vazao_CA
335.0,335.0,335
329.0,329.0,329
278.0,278.0,278
250.0,250.0,250
183.0,183.0,183
362.0,362.0,362
714.0,714.0,714
402.0,402.0,402
259.0,259.0,259
183.0,183.0,183
146.0,146.0,146
124.0,124.0,124
113.0,113.0,113
107.0,107.0,107
94.0,94.0,94
79.0,79.0,79
72.0,72.0,72
68.0,68.0,68
66.0,66.0,66
61.0,61.0,61
55.0,55.0,55
51.0,51.0,51
47.0,47.0,47
46.0,46.0,46
58.0,58.0,58
73.0,73.0,73
70.0,70.0,70
82.0,82.0,82
84.0,84.0,84
91.0,91.0,91
73.0,73.0,73
58.0,58.0,58
50.0,50.0,50
45.0,45.0,45
41.0,41.0,41
38.0,38.0,38
35.0,35.0,35
32.0,32.0,32
30.0,30.0,30
27.0,27.0,27
26.0,26.0,26
24.0,24.0,24
26.0,26.0,26
58.0,58.0,58
126.0,126.0,126
121.0,121.0,121
71.0,71.0,71
84.0,84.0,84
153.0,153.0,153
153.0,153.0,153
128.0,128.0,128
113.0,113.0,113
98.0,98.0,98
88.0,88.0,88
80.0,80.0,80
74.0,74.0,74
67.0,67.0,67
61.0,61.0,61
58.0,58.0,58
82.0,82.0,82
105.0,105.0,105
89.0,89.0,89
73.0,73.0,73
58.0,58.0,58
52.0,52.0,52
83.0,83.0,83
243.0,243.0,243
287.0,287.0,287
206.0,206.0,206
141.0,141.0,141
108.0,108.0,108
94.0,94.0,94
84.0,84.0,84
74.0,74.0,74
65.0,65.0,65
60.0,60.0,60
56.0,56.0,56
61.0,61.0,61
59.0,59.0,59
58.0,58.0,58
56.0,56.0,56
54.0,54.0,54
52.0,52.0,52
48.0,48.0,48
44.0,44.0,44
41.0,41.0,41
45.0,45.0,45
54.0,54.0,54
62.0,62.0,62
58.0,58.0,58
56.0,56.0,56
54.0,54.0,54
50.0,50.0,50
44.0,44.0,44
41.0,41.0,41
39.0,39.0,39
40.0,40.0,40
59.0,59.0,59
99.0,99.0,99
101.0,101.0,101
99.0,99.0,99
94.0,94.0,94
102.0,102.0,102
98.0,98.0,98
93.0,93.0,93
85.0,85.0,85
80.0,80.0,80
72.0,72.0,72
62.0,62.0,62
76.0,76.0,76
182.0,182.0,182
213.0,213.0,213
170.0,170.0,170
150.0,150.0,150
134.0,134.0,134
120.0,120.0,120
112.0,112.0,112
106.0,106.0,106
106.0,106.0,106
96.0,96.0,96
351.0,351.0,351
1436.0,1436.0,1436
1030.0,1030.0,1030
687.0,687.0,687
747.0,747.0,747
660.0,660.0,660
494.0,494.0,494
299.0,299.0,299
162.0,162.0,162
133.0,133.0,133
304.0,304.0,304
1183.0,1183.0,1183
1841.0,1841.0,1841
1113.0,1113.0,1113
707.0,707.0,707
532.0,532.0,532
359.0,359.0,359
244.0,244.0,244
178.0,178.0,178
144.0,144.0,144
130.0,130.0,130
133.0,133.0,133
130.0,130.0,130
124.0,124.0,124
121.0,121.0,121
117.0,117.0,117
114.0,114.0,114
112.0,112.0,112
108.0,108.0,108
104.0,104.0,104
99.0,99.0,99
91.0,91.0,91
85.0,85.0,85
87.0,87.0,87
83.0,83.0,83
76.0,76.0,76
73.0,73.0,73
68.0,68.0,68
63.0,63.0,63
59.0,59.0,59
56.0,56.0,56
55.0,55.0,55
65.0,65.0,65
70.0,70.0,70
65.0,65.0,65
62.0,62.0,62
69.0,69.0,69
163.0,163.0,163
354.0,354.0,354
257.0,257.0,257
158.0,158.0,158
132.0,132.0,132
114.0,114.0,114
99.0,99.0,99
88.0,88.0,88
81.0,81.0,81
