"","Vazao_CA","Vazao1_CA_30d","kalman_struct"
"1",335,335,335
"2",329,329,329
"3",278,278,278
"4",250,250,250
"5",183,183,183
"6",362,362,362
"7",714,714,714
"8",402,402,402
"9",259,259,259
"10",183,183,183
"11",146,146,146
"12",124,124,124
"13",113,113,113
"14",107,107,107
"15",94,94,94
"16",79,79,79
"17",72,72,72
"18",68,68,68
"19",66,66,66
"20",61,61,61
"21",55,55,55
"22",51,51,51
"23",47,47,47
"24",46,46,46
"25",58,58,58
"26",73,73,73
"27",70,70,70
"28",82,82,82
"29",84,84,84
"30",91,91,91
"31",73,73,73
"32",58,58,58
"33",50,50,50
"34",45,45,45
"35",41,41,41
"36",38,38,38
"37",35,35,35
"38",32,32,32
"39",30,30,30
"40",27,27,27
"41",26,26,26
"42",24,24,24
"43",26,26,26
"44",58,58,58
"45",126,126,126
"46",121,121,121
"47",71,71,71
"48",84,84,84
"49",153,153,153
"50",153,153,153
"51",128,128,128
"52",113,113,113
"53",98,98,98
"54",88,88,88
"55",80,80,80
"56",74,74,74
"57",67,67,67
"58",61,61,61
"59",58,58,58
"60",82,82,82
"61",105,105,105
"62",89,89,89
"63",73,73,73
"64",58,58,58
"65",52,52,52
"66",83,83,83
"67",243,243,243
"68",287,287,287
"69",206,206,206
"70",141,141,141
"71",108,108,108
"72",94,94,94
"73",84,84,84
"74",74,74,74
"75",65,65,65
"76",60,60,60
"77",56,56,56
"78",61,61,61
"79",59,59,59
"80",58,58,58
"81",56,56,56
"82",54,54,54
"83",52,52,52
"84",48,48,48
"85",44,44,44
"86",41,41,41
"87",45,45,45
"88",54,54,54
"89",62,62,62
"90",58,58,58
"91",56,56,56
"92",54,54,54
"93",50,50,50
"94",44,44,44
"95",41,41,41
"96",39,39,39
"97",40,40,40
"98",59,59,59
"99",99,99,99
"100",101,101,101
"101",99,99,99
"102",94,94,94
"103",102,102,102
"104",98,98,98
"105",93,93,93
"106",85,85,85
"107",80,80,80
"108",72,72,72
"109",62,62,62
"110",76,76,76
"111",182,182,182
"112",213,213,213
"113",170,170,170
"114",150,150,150
"115",134,134,134
"116",120,120,120
"117",112,112,112
"118",106,106,106
"119",106,106,106
"120",96,96,96
"121",351,351,351
"122",1436,1436,1436
"123",1030,1030,1030
"124",687,687,687
"125",747,747,747
"126",660,660,660
"127",494,494,494
"128",299,299,299
"129",162,162,162
"130",133,133,133
"131",304,304,304
"132",1183,1183,1183
"133",1841,1841,1841
"134",1113,1113,1113
"135",707,707,707
"136",532,532,532
"137",359,359,359
"138",244,244,244
"139",178,178,178
"140",144,144,144
"141",130,130,130
"142",133,133,133
"143",130,130,130
"144",124,124,124
"145",121,121,121
"146",117,117,117
"147",114,114,114
"148",112,112,112
"149",108,108,108
"150",104,104,104
"151",99,99,99
"152",91,91,91
"153",85,85,85
"154",87,87,87
"155",83,83,83
"156",76,76,76
"157",73,73,73
"158",68,68,68
"159",63,63,63
"160",59,59,59
"161",56,56,56
"162",55,55,55
"163",65,65,65
"164",70,70,70
"165",65,65,65
"166",62,62,62
"167",69,69,69
"168",163,163,163
"169",354,354,354
"170",257,257,257
"171",158,158,158
"172",132,132,132
"173",114,114,114
"174",99,99,99
"175",88,88,88
"176",81,81,81
"177",75,75,75
"178",77,77,77
"179",294,294,294
"180",1069,1069,1069
"181",762,762,762
"182",425,425,425
"183",239,239,239
"184",167,167,167
"185",120,120,120
"186",102,102,102
"187",93,93,93
"188",88,88,88
"189",78,78,78
"190",73,73,73
"191",69,69,69
"192",64,64,64
"193",56,56,56
"194",69,69,69
"195",377,377,377
"196",1332,1332,1332
"197",942,942,942
"198",969,969,969
"199",1392,1392,1392
"200",687,687,687
"201",486,486,486
"202",501,501,501
"203",844,844,844
"204",712,712,712
"205",418,418,418
"206",335,335,335
"207",403,403,403
"208",889,889,889
"209",858,858,858
"210",504,504,504
"211",341,341,341
"212",281,281,281
"213",219,219,219
"214",198,198,198
"215",221,221,221
"216",261,261,261
"217",229,229,229
"218",234,234,234
"219",439,439,439
"220",396,396,396
"221",292,292,292
"222",205,205,205
"223",185,185,185
"224",306,306,306
"225",580,580,580
"226",1806,1806,1806
"227",4102,4102,4102
"228",2101,2101,2101
"229",1016,1016,1016
"230",609,609,609
"231",499,499,499
"232",566,566,566
"233",432,432,432
"234",449,449,449
"235",424,424,424
"236",316,316,316
"237",221,221,221
"238",192,192,192
"239",206,206,206
"240",297,297,297
"241",739,739,739
"242",639,639,639
"243",353,353,353
"244",231,231,231
"245",193,193,193
"246",138,138,138
"247",127,127,127
"248",118,118,118
"249",109,109,109
"250",96,96,96
"251",84,84,84
"252",76,76,76
"253",77,77,77
"254",92,92,92
"255",186,186,186
"256",164,164,164
"257",130,130,130
"258",122,122,122
"259",118,118,118
"260",100,100,100
"261",80,80,80
"262",68,68,68
"263",58,58,58
"264",53,53,53
"265",51,51,51
"266",48,48,48
"267",46,46,46
"268",43,43,43
"269",46,46,46
"270",67,67,67
"271",61,61,61
"272",56,56,56
"273",53,53,53
"274",51,51,51
"275",59,59,59
"276",100,100,100
"277",92,92,92
"278",87,87,87
"279",107,107,107
"280",133,133,133
"281",118,118,118
"282",107,107,107
"283",98,98,98
"284",89,89,89
"285",79,79,79
"286",67,67,67
"287",62,62,62
"288",58,58,58
"289",53,53,53
"290",70,70,70
"291",156,156,156
"292",206,206,206
"293",135,135,135
"294",92,92,92
"295",78,78,78
"296",73,73,73
"297",93,93,93
"298",164,164,164
"299",205,205,205
"300",202,202,202
"301",132,132,132
"302",96,96,96
"303",79,79,79
"304",77,77,77
"305",100,100,100
"306",88,88,88
"307",71,71,71
"308",62,62,62
"309",56,56,56
"310",50,50,50
"311",45,45,45
"312",62,62,62
"313",150,150,150
"314",114,114,114
"315",174,174,174
"316",242,242,242
"317",342,342,342
"318",523,523,523
"319",409,409,409
"320",228,228,228
"321",186,186,186
"322",288,288,288
"323",287,287,287
"324",308,308,308
"325",234,234,234
"326",218,218,218
"327",181,181,181
"328",139,139,139
"329",111,111,111
"330",126,126,126
"331",205,205,205
"332",232,232,232
"333",157,157,157
"334",161,161,161
"335",313,313,313
"336",433,433,433
"337",344,344,344
"338",380,380,380
"339",329,329,329
"340",270,270,270
"341",224,224,224
"342",247,247,247
"343",475,475,475
"344",458,458,458
"345",269,269,269
"346",211,211,211
"347",181,181,181
"348",160,160,160
"349",141,141,141
"350",137,137,137
"351",125,125,125
"352",120,120,120
"353",113,113,113
"354",105,105,105
"355",97,97,97
"356",97,97,97
"357",134,134,134
"358",130,130,130
"359",115,115,115
"360",143,143,143
"361",124,124,124
"362",107,107,107
"363",140,140,140
"364",181,181,181
"365",149,149,149
"366",158,158,158
"367",136,136,136
"368",122,122,122
"369",115,115,115
"370",110,110,110
"371",100,100,100
"372",88,88,88
"373",88,88,88
"374",127,127,127
"375",158,158,158
"376",127,127,127
"377",102,102,102
"378",74,74,74
"379",60,60,60
"380",103,103,103
"381",340,340,340
"382",349,349,349
"383",226,226,226
"384",157,157,157
"385",143,143,143
"386",110,110,110
"387",100,100,100
"388",94,94,94
"389",85,85,85
"390",92,92,92
"391",211,211,211
"392",402,402,402
"393",241,241,241
"394",177,177,177
"395",126,126,126
"396",97,97,97
"397",118,118,118
"398",166,166,166
"399",149,149,149
"400",99,99,99
"401",81,81,81
"402",72,72,72
"403",67,67,67
"404",86,86,86
"405",194,194,194
"406",224,224,224
"407",241,241,241
"408",186,186,186
"409",145,145,145
"410",104,104,104
"411",86,86,86
"412",77,77,77
"413",70,70,70
"414",63,63,63
"415",56,56,56
"416",75,75,75
"417",164,164,164
"418",160,160,160
"419",119,119,119
"420",268,268,268
"421",929,929,929
"422",708,708,708
"423",560,560,560
"424",471,471,471
"425",338,338,338
"426",224,224,224
"427",167,167,167
"428",157,157,157
"429",333,333,333
"430",1077,1077,1077
"431",999,999,999
"432",479,479,479
"433",369,369,369
"434",288,288,288
"435",236,236,236
"436",206,206,206
"437",183,183,183
"438",155,155,155
"439",137,137,137
"440",120,120,120
"441",107,107,107
"442",94,94,94
"443",155,155,155
"444",421,421,421
"445",218,218,218
"446",184,184,184
"447",201,201,201
"448",360,360,360
"449",371,371,371
"450",327,327,327
"451",297,297,297
"452",243,243,243
"453",188,188,188
"454",157,157,157
"455",136,136,136
"456",113,113,113
"457",95,95,95
"458",77,77,77
"459",69,69,69
"460",65,65,65
"461",72,72,72
"462",67,67,67
"463",65,65,65
"464",73,73,73
"465",81,81,81
"466",74,74,74
"467",66,66,66
"468",59,59,59
"469",55,55,55
"470",52,52,52
"471",48,48,48
"472",47,47,47
"473",77,77,77
"474",203,203,203
"475",223,223,223
"476",205,205,205
"477",194,194,194
"478",180,180,180
"479",162,162,162
"480",143,143,143
"481",133,133,133
"482",272,272,272
"483",856,856,856
"484",579,579,579
"485",287,287,287
"486",227,227,227
"487",209,209,209
"488",164,164,164
"489",162,162,162
"490",180,180,180
"491",180,180,180
"492",250,250,250
"493",372,372,372
"494",294,294,294
"495",240,240,240
"496",183,183,183
"497",145,145,145
"498",229,229,229
"499",477,477,477
"500",316,316,316
"501",220,220,220
"502",145,145,145
"503",127,127,127
"504",119,119,119
"505",188,188,188
"506",950,950,950
"507",3326,3326,3326
"508",2201,2201,2201
"509",641,641,641
"510",457,457,457
"511",361,361,361
"512",289,289,289
"513",305,305,305
"514",410,410,410
"515",339,339,339
"516",232,232,232
"517",191,191,191
"518",172,172,172
"519",147,147,147
"520",131,131,131
"521",117,117,117
"522",103,103,103
"523",96,96,96
"524",90,90,90
"525",86,86,86
"526",81,81,81
"527",76,76,76
"528",73,73,73
"529",70,70,70
"530",68,68,68
"531",65,65,65
"532",62,62,62
"533",59,59,59
"534",56,56,56
"535",53,53,53
"536",51,51,51
"537",49,49,49
"538",48,48,48
"539",50,50,50
"540",47,47,47
"541",45,45,45
"542",44,44,44
"543",43,43,43
"544",41,41,41
"545",44,44,44
"546",56,56,56
"547",70,70,70
"548",117,117,117
"549",88,88,88
"550",80,80,80
"551",70,70,70
"552",60,60,60
"553",66,66,66
"554",136,136,136
"555",192,192,192
"556",170,170,170
"557",171,171,171
"558",198,198,198
"559",307,307,307
"560",361,361,361
"561",253,253,253
"562",293,293,293
"563",724,724,724
"564",393,393,393
"565",261,261,261
"566",180,180,180
"567",157,157,157
"568",139,139,139
"569",126,126,126
"570",111,111,111
"571",106,106,106
"572",105,105,105
"573",115,115,115
"574",110,110,110
"575",149,149,149
"576",330,330,330
"577",251,251,251
"578",341,341,341
"579",1525,1525,1525
"580",3491,3491,3491
"581",1588,1588,1588
"582",665,665,665
"583",452,452,452
"584",370,370,370
"585",271,271,271
"586",195,195,195
"587",233,233,233
"588",380,380,380
"589",288,288,288
"590",220,220,220
"591",154,154,154
"592",121,121,121
"593",106,106,106
"594",109,109,109
"595",188,188,188
"596",203,203,203
"597",172,172,172
"598",148,148,148
"599",186,186,186
"600",158,158,158
"601",145,145,145
"602",135,135,135
"603",121,121,121
"604",101,101,101
"605",87,87,87
"606",75,75,75
"607",66,66,66
"608",57,57,57
"609",51,51,51
"610",48,48,48
"611",111,111,111
"612",93,93,93
"613",88,88,88
"614",85,85,85
"615",82,82,82
"616",80,80,80
"617",80,80,80
"618",83,83,83
"619",83,83,83
"620",96,96,96
"621",166,166,166
"622",231,231,231
"623",176,176,176
"624",155,155,155
"625",143,143,143
"626",124,124,124
"627",111,111,111
"628",99,99,99
"629",79,79,79
"630",70,70,70
"631",69,69,69
"632",76,76,76
"633",74,74,74
"634",73,73,73
"635",79,79,79
"636",120,120,120
"637",306,306,306
"638",490,490,490
"639",459,459,459
"640",332,332,332
"641",272,272,272
"642",262,262,262
"643",191,191,191
"644",181,181,181
"645",254,254,254
"646",306,306,306
"647",234,234,234
"648",175,175,175
"649",140,140,140
"650",122,122,122
"651",112,112,112
"652",134,134,134
"653",169,169,169
"654",164,164,164
"655",163,163,163
"656",137,137,137
"657",110,110,110
"658",96,96,96
"659",86,86,86
"660",76,76,76
"661",74,74,74
"662",91,91,91
"663",104,NA,89.6101977170278
"664",101,NA,88.4268843831675
"665",90,NA,87.2435710493071
"666",78,NA,86.0602577154468
"667",69,NA,84.8769443815865
"668",58,NA,83.6936310477261
"669",58,NA,82.5103177138658
"670",58,NA,81.3270043800055
"671",66,NA,80.1436910461451
"672",95,NA,78.9603777122848
"673",105,NA,77.7770643784245
"674",97,NA,76.5937510445641
"675",75,NA,75.4104377107038
"676",72,NA,74.2271243768435
"677",88,NA,73.0438110429832
"678",104,NA,71.8604977091228
"679",112,NA,70.6771843752625
"680",82,NA,69.4938710414021
"681",73,NA,68.3105577075418
"682",95,NA,67.1272443736815
"683",123,NA,65.9439310398211
"684",97,NA,64.7606177059608
"685",77,NA,63.5773043721005
"686",95,NA,62.3939910382401
"687",127,NA,61.2106777043798
"688",103,NA,60.0273643705195
"689",84,NA,58.8440510366591
"690",71,NA,57.6607377027988
"691",65,NA,56.4774243689385
"692",59,NA,55.2941110350781
"693",54,54,54
"694",62,62,62
"695",109,109,109
"696",264,264,264
"697",423,423,423
"698",342,342,342
"699",407,407,407
"700",242,242,242
"701",141,141,141
"702",127,127,127
"703",138,138,138
"704",129,129,129
"705",106,106,106
"706",85,85,85
"707",75,75,75
"708",70,70,70
"709",77,77,77
"710",96,96,96
"711",99,99,99
"712",96,NA,97.8628745291165
"713",92,NA,96.7748049388116
"714",99,NA,95.6867353485067
